# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "-t" "exon" "-g" "gene_id" "-a" "/proj/uppmax2026-1-61/nobackup/work/Manu/Braker3/braker.gtf" "-o" "/home/mabo3966/Genome_Analysis/Njaponicum_transcriptomics_heat_response/analyses/06_expression/FeatureCounts/Results/featurecounts_chr3.txt" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_3.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_3.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_3.sorted.bam
g291	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1595186;1595960;1596899;1596899;1597326;1597326;1597710;1597710;1598190;1598190	1595201;1596134;1597128;1597128;1597470;1597470;1597897;1597897;1598450;1598450	+;+;+;+;+;+;+;+;+;+	1015	437	223	248	36	64	71
g292	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1603081;1603081;1603288;1603288;1603864;1603864;1604111;1604111;1604628;1604656;1604985;1604985;1604989;1607726;1607726;1607726	1603233;1603233;1603628;1603628;1603887;1603887;1604292;1604292;1604643;1604689;1607281;1607281;1607281;1608369;1608369;1608369	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3691	111	93	75	34	17	84
g293	contig_15_pilon;contig_15_pilon;contig_15_pilon	1613496;1613826;1614061	1613736;1613912;1614098	-;-;-	366	0	0	0	0	0	0
g294	contig_15_pilon;contig_15_pilon	1618858;1619080	1619038;1619384	-;-	486	19	14	24	4	0	4
g295	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1620442;1620990;1621239;1621833;1622111;1622319;1629948;1630367;1630625;1630974;1631507;1632142;1635068;1635238	1620831;1621110;1621703;1621977;1622192;1622508;1630262;1630530;1630700;1631186;1631841;1635027;1635089;1635263	+;+;+;+;+;+;+;+;+;+;+;+;+;+	5430	1385	4719	5266	336	162	728
g296	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1636793;1637188;1637431;1637698;1638311;1638886	1636930;1637292;1637553;1637832;1638487;1639149	+;+;+;+;+;+	942	61	43	61	37	33	96
g297	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1640105;1640506;1640645;1641132;1641283;1641573;1643950;1644171	1640164;1640607;1640747;1641135;1641397;1641702;1644063;1644250	-;-;-;-;-;-;-;-	708	243	255	230	361	102	311
g298	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1644299;1644972;1645288;1645661;1646461;1646907;1647175	1644719;1645127;1645408;1646264;1646646;1646972;1647348	+;+;+;+;+;+;+	1728	394	2729	2740	2748	1370	3237
g299	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1653125;1653548;1656171;1656817;1657110;1657674	1653276;1653710;1656693;1656843;1657189;1657730	+;+;+;+;+;+	1002	59	40	41	26	20	46
g300	contig_15_pilon;contig_15_pilon;contig_15_pilon	1657835;1659247;1659948	1658525;1659817;1660434	+;+;+	1749	1738	1089	910	642	222	884
g301	contig_15_pilon;contig_15_pilon	1664144;1664490	1664406;1664667	-;-	441	0	0	0	0	0	0
g302	contig_15_pilon	1668711	1669151	-	441	89	65	106	74	46	25
g303	contig_15_pilon;contig_15_pilon;contig_15_pilon	1669283;1671123;1673957	1669465;1671278;1674142	+;+;+	525	215	337	404	322	335	200
g304	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1688528;1688866;1689174;1689413;1689730	1688581;1688917;1689223;1689529;1689813	+;+;+;+;+	357	620	512	416	834	664	765
g305	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1691619;1691619;1691619;1692221;1692221;1692221;1692982;1692982;1692982;1693186;1693186;1693186;1693443;1693443;1693443;1693754;1693754;1693754;1694295;1694295;1694295;1694591;1694591;1694591;1694894;1694894;1694894;1695227;1695227;1695227;1696120;1696120;1696120;1696372;1696372;1696372;1696657;1696657;1696657;1698281;1698281;1698281;1698680;1698680;1698680;1699015;1699015;1699015;1699413;1699413;1699413;1699628;1699628;1699628;1699973;1699973;1699973;1700376;1700376;1700376;1700714;1700714;1700714;1701339;1701339;1701339;1701726;1701726;1701726;1701947;1702169;1702169;1702169;1702312;1702312;1702312;1702894;1702894;1702894;1703133;1703133;1703133;1703398;1703398;1703398;1703683;1703683;1703683	1691755;1691755;1691755;1692650;1692650;1692650;1693053;1693053;1693053;1693248;1693248;1693248;1693613;1693613;1693613;1693822;1693822;1693822;1694373;1694373;1694373;1694635;1694635;1694635;1695018;1695018;1695018;1695481;1695481;1695481;1696273;1696273;1696273;1696590;1696590;1696590;1696782;1696782;1696782;1698480;1698480;1698480;1698736;1698736;1698736;1699146;1699146;1699146;1699487;1699487;1699487;1699792;1699792;1699792;1700211;1700211;1700211;1700466;1700466;1700466;1701148;1701148;1701148;1701458;1701458;1701458;1701918;1701979;1701979;1701983;1702242;1702242;1702242;1702339;1702339;1702324;1702961;1702961;1702961;1703170;1703170;1703170;1703421;1703421;1703421;1703685;1703685;1703685	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3952	2375	2083	2700	3512	1959	4535
g306	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1725365;1725744;1726156;1726627;1726872;1727227;1727431	1725675;1725920;1726246;1726749;1726947;1727296;1728775	+;+;+;+;+;+;+	2193	191	1068	2104	73	91	76
g307	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1751111;1751298;1752750;1752950;1754257	1751172;1752618;1752789;1753033;1754864	+;+;+;+;+	2115	473	522	652	473	182	567
g308	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1756586;1757050;1759780;1760301	1756752;1757108;1759889;1760432	-;-;-;-	468	4	35	25	37	6	25
g309	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1764476;1765285;1765390;1765938;1767048	1764485;1765365;1765454;1765985;1767152	-;-;-;-;-	309	92	23	2	0	0	2
g310	contig_15_pilon	1771309	1771545	-	237	0	0	0	0	0	0
g311	contig_15_pilon	1780951	1781283	-	333	0	0	0	0	0	0
g312	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1780976;1781315;1781661;1781944;1782119;1782546;1783158;1783424;1783753;1784214	1781286;1781475;1781754;1782037;1782138;1782664;1783288;1783480;1783945;1784455	+;+;+;+;+;+;+;+;+;+	1422	428	1330	1052	666	591	151
g313	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1787897;1789380;1793888;1794836	1788101;1789457;1794093;1795606	-;-;-;-	1260	9030	24148	17858	6554	6658	11691
g314	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1799927;1800433;1800760;1801000;1801340;1801840	1800115;1800579;1800865;1801196;1801432;1801947	-;-;-;-;-;-	840	0	1	2	0	0	0
g315	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1803266;1803392;1803476;1803594;1803767;1803767;1804045;1804045;1804305;1804305	1803280;1803466;1803531;1803664;1803805;1803805;1804178;1804178;1804387;1804387	+;+;+;+;+;+;+;+;+;+	473	55	25	32	4	49	20
g316	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1805090;1805531;1805933;1806356;1806696;1807024;1807828	1805257;1805677;1806038;1806552;1806788;1807155;1807854	-;-;-;-;-;-;-	870	13	29	36	0	35	7
g317	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1819053;1819798;1820748;1820948;1821216	1819450;1819882;1820845;1821099;1821352	-;-;-;-;-	870	0	0	0	0	0	0
g318	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1823199;1823699;1824021;1824475;1825090;1825109	1823567;1823917;1824352;1824851;1825530;1825530	-;-;-;-;-;-	1738	0	0	0	0	0	0
g319	contig_15_pilon	1825581	1825811	-	231	0	0	0	0	0	0
g320	contig_15_pilon;contig_15_pilon;contig_15_pilon	1829441;1829762;1830031	1829650;1829911;1830426	-;-;-	756	0	0	0	0	0	0
g321	contig_15_pilon;contig_15_pilon	1830528;1830631	1830582;1830776	+;+	201	0	0	0	0	0	0
g322	contig_15_pilon;contig_15_pilon;contig_15_pilon	1832612;1832908;1838236	1832861;1833155;1838466	+;+;+	729	0	6	0	0	0	0
g323	contig_15_pilon	1838480	1838815	-	336	0	0	0	0	0	1
g324	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1838986;1839258;1839563;1839607;1840021	1839143;1839298;1839572;1839652;1840113	+;+;+;+;+	348	0	3	13	0	3	1
g325	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1840398;1841468;1841785;1842583;1843033;1843319;1843758;1844382;1844877;1845478;1846106;1848494	1840723;1841650;1841920;1842684;1843152;1843399;1844098;1844630;1845201;1845780;1847957;1848501	+;+;+;+;+;+;+;+;+;+;+;+	4026	8	53	39	25	1	61
g326	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1849458;1849826;1850627;1850992	1849694;1850156;1850877;1851258	-;-;-;-	1086	0	0	0	0	0	0
g327	contig_15_pilon;contig_15_pilon	1851923;1852178	1852053;1852367	+;+	321	0	0	0	0	0	0
g328	contig_15_pilon;contig_15_pilon	1867148;1867420	1867219;1867839	-;-	492	746	1077	1223	1577	1009	1429
g329	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1880468;1880683;1880726;1882361;1882415;1882717;1882717;1882983;1883507;1883830;1884785;1885529;1885707	1880558;1880700;1880793;1882437;1882437;1882948;1882844;1882996;1883609;1883926;1884854;1885537;1885934	+;+;+;+;+;+;+;+;+;+;+;+;+	1007	2178	1967	1812	878	762	1230
g330	contig_15_pilon;contig_15_pilon	1886135;1886250	1886197;1887044	+;+	858	10	10	0	33	7	27
g331	contig_15_pilon	1889156	1889761	-	606	55	16	22	75	80	50
g332	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1890254;1890254;1891131;1891131;1891311;1891611;1891820;1891820;1892794;1892794;1893363;1893363;1893758;1893758;1894239;1894506	1890329;1890329;1891697;1891245;1891321;1891697;1892655;1892655;1892976;1892976;1893550;1893550;1894149;1894208;1894263;1894527	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2348	3293	1620	1923	4053	3042	2501
g333	contig_15_pilon	1895487	1895897	+	411	0	0	0	7	0	0
g334	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1896802;1897223;1897815;1898254;1898812;1899352;1899705;1900952;1901077;1901957;1901957;1902299;1902299;1902501;1902501;1902884;1902884;1903208;1903208;1903529;1903529;1903841;1903841;1904108;1904108	1896951;1897322;1897898;1898652;1899058;1899433;1899888;1901202;1901202;1901983;1901983;1902378;1902378;1902573;1902573;1902953;1902953;1903259;1903259;1903553;1903553;1903932;1903932;1904282;1904282	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2091	716	1212	1071	1472	1155	1675
g335	contig_15_pilon	1908350	1908553	-	204	0	0	0	0	0	0
g336	contig_15_pilon	1908655	1908951	+	297	0	0	0	0	0	0
g337	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1911476;1911727;1911809;1912000;1912330;1912562;1913124	1911517;1911740;1911821;1912045;1912373;1912593;1913358	-;-;-;-;-;-;-	426	15	75	32	9	23	40
g338	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1915647;1916907;1917381;1918288	1916549;1917020;1917815;1918632	-;-;-;-	1797	116	1207	645	8	0	14
g339	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1918701;1918889;1919133;1919563;1919878	1918770;1918956;1919283;1919645;1920048	-;-;-;-;-	543	13	94	82	0	0	0
g340	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1925896;1925896;1925896;1925896;1926349;1926349;1926349;1926349;1926720;1926720;1926720;1926720;1927290;1927290;1927290;1927290;1927624;1927624;1927624;1927624;1927998;1927998;1927998;1927998;1928204;1928369;1928369;1928369;1928369;1928730;1928730;1928730;1928730;1929200;1929200;1929200;1929200;1929688;1929688;1929688;1929688;1930205;1930403;1930403;1930403;1930403;1930873;1930873;1930873;1930873;1931065;1931065;1931065;1931065	1926033;1926033;1926033;1926033;1926465;1926465;1926465;1926465;1926933;1926933;1926933;1926933;1927379;1927379;1927379;1927379;1927836;1927836;1927836;1927836;1928203;1928115;1928203;1928203;1928216;1928593;1928593;1928593;1928593;1929020;1929020;1929020;1928996;1929373;1929373;1929373;1929373;1929903;1929903;1929903;1929903;1930216;1930543;1930543;1930543;1930543;1930895;1930895;1930895;1930895;1931122;1931122;1931122;1931122	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2131	489	595	571	55	35	160
g341	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1931209;1931379;1931636;1932029;1932443;1932730;1933683;1933982;1934445;1934702;1934974;1935339;1935607;1935916;1936491;1936855;1937880;1938181;1938683;1938866;1939197;1939297	1931247;1931495;1931722;1932322;1932631;1933104;1933754;1934087;1934569;1934837;1935020;1935411;1935716;1936072;1936651;1937023;1938124;1938426;1938758;1939025;1939222;1939376	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3090	1755	1798	1839	67	167	457
g342	contig_15_pilon;contig_15_pilon	1940131;1940444	1940413;1940475	-;-	315	0	11	12	0	0	0
g343	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1954245;1954529;1954947;1955176;1955271;1955537;1955844;1956136;1956442;1956765;1957074;1957444;1957668;1958076;1958780;1959524;1959976	1954382;1954672;1955023;1955227;1955282;1955700;1955955;1956273;1956520;1956874;1957199;1957518;1957799;1958334;1959236;1959779;1960473	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2829	1661	1431	1658	1648	649	2437
g344	contig_15_pilon;contig_15_pilon	1960687;1961010	1960771;1961164	-;-	240	130	106	114	127	24	179
g345	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1962792;1963068;1963806;1964320;1966171	1962988;1963181;1963897;1964503;1966462	-;-;-;-;-	879	92	81	83	81	32	149
g346	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1966729;1967029;1967246;1967272;1967701;1967701;1968271;1968271	1966771;1967205;1967499;1967499;1968046;1968046;1968659;1968659	+;+;+;+;+;+;+;+	1209	160	376	210	39	65	68
g347	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1974487;1974655;1974883;1975457	1974579;1974852;1975050;1975495	-;-;-;-	498	0	0	0	0	0	0
g348	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1980100;1980307;1980798;1981145;1982157;1984991;1985193;1986121	1980266;1980529;1980935;1981490;1982526;1985137;1985360;1986130	+;+;+;+;+;+;+;+	1569	212	811	999	476	606	559
g349	contig_15_pilon;contig_15_pilon	1986269;1986916	1986552;1987441	+;+	810	769	1041	1072	1134	994	1591
g350	contig_15_pilon	1988903	1989130	-	228	0	0	0	0	0	0
g351	contig_15_pilon	1989549	1989899	+	351	6	14	7	0	0	0
g352	contig_15_pilon;contig_15_pilon	1991996;1992844	1992080;1993217	-;-	459	10711	8207	10912	17491	16213	11913
g353	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	1994804;1994804;1995903;1995903;1996108;1996108;1996371;1996371;1996764;1996764;1996943;1996943;1997290;1997290;1997585;1997585;1997804;1997804;1998137;1998137;1998345;1998345;1998527;1998527;1998821;1998821;1999050;1999050;1999342;1999342;1999579;1999579;1999895;1999895;2000204;2000204;2001289;2001289;2001691;2001691;2001861;2001861;2002218;2002218;2002456;2002456;2002700;2002700;2002950;2002950	1995748;1995748;1995978;1995978;1996223;1996223;1996478;1996478;1996820;1996820;1996978;1996978;1997433;1997433;1997650;1997650;1997908;1997908;1998208;1998208;1998395;1998395;1998580;1998580;1998919;1998919;1999139;1999136;1999389;1999389;1999677;1999677;1999954;1999954;2000557;2000557;2001404;2001404;2001730;2001730;2001992;2001992;2002301;2002301;2002590;2002590;2002801;2002801;2003021;2003021	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3261	303	1192	1135	245	146	227
g354	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	2008248;2009683;2010294;2010531	2008790;2010232;2010451;2010617	-;-;-;-	1338	702	2256	3926	712	662	887
g355	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	2011429;2011429;2011622;2011622;2011950;2012450;2012692;2012692;2013060;2013060;2014386;2014386;2014603;2014603;2015182;2015182;2015844;2015844;2016089;2016089;2016492;2016492;2017103;2017103;2017762;2017762;2018033;2018033;2018573;2018573;2018799;2018799;2019067;2019067;2019509;2019509;2019865;2019865;2020165;2020165;2020652;2020652	2011587;2011587;2011822;2011822;2012087;2012542;2012893;2012893;2013433;2013433;2014481;2014481;2014860;2014860;2015586;2015586;2015968;2015968;2016287;2016287;2016743;2016743;2017323;2017323;2017849;2017849;2018168;2018168;2018625;2018625;2018855;2018855;2019210;2019210;2019571;2019571;2020006;2020006;2020326;2020326;2020848;2020848	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3765	2491	5225	10248	1127	561	1650
g356	contig_15_pilon;contig_15_pilon	2022190;2022755	2022585;2023045	-;-	687	10600	1375	3208	7776	9135	5445
g357	contig_15_pilon	2026487	2027149	-	663	0	0	0	0	0	0
